Metric,Value
design__instance__count__class:antenna_cell,2
design__instance__area__class:antenna_cell,8.7808
route__net,6737
route__net__special,2
route__drc_errors__iter:0,5
route__wirelength__iter:0,538675
route__drc_errors__iter:1,0
route__wirelength__iter:1,538669
route__drc_errors__iter:2,2480
route__wirelength__iter:2,537808
route__drc_errors__iter:3,1154
route__wirelength__iter:3,538364
route__drc_errors__iter:4,816
route__wirelength__iter:4,538464
route__drc_errors__iter:5,575
route__wirelength__iter:5,538532
route__drc_errors__iter:6,363
route__wirelength__iter:6,538564
route__drc_errors__iter:7,313
route__wirelength__iter:7,538605
route__drc_errors__iter:8,267
route__wirelength__iter:8,538493
route__drc_errors__iter:9,230
route__wirelength__iter:9,538465
route__drc_errors__iter:10,124
route__wirelength__iter:10,538712
route__drc_errors__iter:11,58
route__wirelength__iter:11,538664
route__drc_errors__iter:12,4
route__wirelength__iter:12,538676
route__drc_errors__iter:13,0
route__wirelength__iter:13,538667
route__drc_errors,0
route__wirelength,538669
route__vias,57803
route__vias__singlecut,57803
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,1
design__critical_disconnected_pin__count,0
route__wirelength__max,1253.58
design__instance__count__class:fill_cell,9222
design__instance__area__class:fill_cell,139369
timing__unannotated_net__count__corner:nom_tt_025C_3v30,27
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,27
timing__unannotated_net_filtered__count__corner:nom_ss_125C_3v00,0
timing__unannotated_net__count__corner:nom_ff_n40C_3v60,27
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count__corner:min_tt_025C_3v30,104
design__max_fanout_violation__count__corner:min_tt_025C_3v30,29
design__max_cap_violation__count__corner:min_tt_025C_3v30,22
clock__skew__worst_hold__corner:min_tt_025C_3v30,-0.4130484682308007
clock__skew__worst_setup__corner:min_tt_025C_3v30,0.41589241561111284
timing__hold__ws__corner:min_tt_025C_3v30,0.8902183686626663
timing__setup__ws__corner:min_tt_025C_3v30,11.046971650121197
timing__hold__tns__corner:min_tt_025C_3v30,0.0
timing__setup__tns__corner:min_tt_025C_3v30,0.0
timing__hold__wns__corner:min_tt_025C_3v30,0
timing__setup__wns__corner:min_tt_025C_3v30,0.0
timing__hold_vio__count__corner:min_tt_025C_3v30,0
timing__hold_r2r__ws__corner:min_tt_025C_3v30,0.890218
timing__hold_r2r_vio__count__corner:min_tt_025C_3v30,0
timing__setup_vio__count__corner:min_tt_025C_3v30,0
timing__setup_r2r__ws__corner:min_tt_025C_3v30,11.046971
timing__setup_r2r_vio__count__corner:min_tt_025C_3v30,0
timing__unannotated_net__count__corner:min_tt_025C_3v30,27
timing__unannotated_net_filtered__count__corner:min_tt_025C_3v30,0
design__max_slew_violation__count__corner:min_ss_125C_3v00,1544
design__max_fanout_violation__count__corner:min_ss_125C_3v00,29
design__max_cap_violation__count__corner:min_ss_125C_3v00,22
clock__skew__worst_hold__corner:min_ss_125C_3v00,-0.5547398253330474
clock__skew__worst_setup__corner:min_ss_125C_3v00,0.5566149920746727
timing__hold__ws__corner:min_ss_125C_3v00,2.0765516560697725
timing__setup__ws__corner:min_ss_125C_3v00,-17.18891744259231
timing__hold__tns__corner:min_ss_125C_3v00,0.0
timing__setup__tns__corner:min_ss_125C_3v00,-1300.8790715071357
timing__hold__wns__corner:min_ss_125C_3v00,0
timing__setup__wns__corner:min_ss_125C_3v00,-17.18891744259231
timing__hold_vio__count__corner:min_ss_125C_3v00,0
timing__hold_r2r__ws__corner:min_ss_125C_3v00,2.076552
timing__hold_r2r_vio__count__corner:min_ss_125C_3v00,0
timing__setup_vio__count__corner:min_ss_125C_3v00,195
timing__setup_r2r__ws__corner:min_ss_125C_3v00,-17.188917
timing__setup_r2r_vio__count__corner:min_ss_125C_3v00,190
timing__unannotated_net__count__corner:min_ss_125C_3v00,27
timing__unannotated_net_filtered__count__corner:min_ss_125C_3v00,0
design__max_slew_violation__count__corner:min_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:min_ff_n40C_3v60,29
design__max_cap_violation__count__corner:min_ff_n40C_3v60,22
clock__skew__worst_hold__corner:min_ff_n40C_3v60,-0.3506117440061
clock__skew__worst_setup__corner:min_ff_n40C_3v60,0.35347045735305727
timing__hold__ws__corner:min_ff_n40C_3v60,0.3870578411779289
timing__setup__ws__corner:min_ff_n40C_3v60,22.871770902363764
timing__hold__tns__corner:min_ff_n40C_3v60,0.0
timing__setup__tns__corner:min_ff_n40C_3v60,0.0
timing__hold__wns__corner:min_ff_n40C_3v60,0
timing__setup__wns__corner:min_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:min_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:min_ff_n40C_3v60,0.387058
timing__hold_r2r_vio__count__corner:min_ff_n40C_3v60,0
timing__setup_vio__count__corner:min_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:min_ff_n40C_3v60,23.092844
timing__setup_r2r_vio__count__corner:min_ff_n40C_3v60,0
timing__unannotated_net__count__corner:min_ff_n40C_3v60,27
timing__unannotated_net_filtered__count__corner:min_ff_n40C_3v60,0
design__max_slew_violation__count__corner:max_tt_025C_3v30,230
design__max_fanout_violation__count__corner:max_tt_025C_3v30,29
design__max_cap_violation__count__corner:max_tt_025C_3v30,45
clock__skew__worst_hold__corner:max_tt_025C_3v30,-0.4699035737969151
clock__skew__worst_setup__corner:max_tt_025C_3v30,0.4736471349195238
timing__hold__ws__corner:max_tt_025C_3v30,0.8765801665978513
timing__setup__ws__corner:max_tt_025C_3v30,8.259583473175178
timing__hold__tns__corner:max_tt_025C_3v30,0.0
timing__setup__tns__corner:max_tt_025C_3v30,0.0
timing__hold__wns__corner:max_tt_025C_3v30,0
timing__setup__wns__corner:max_tt_025C_3v30,0.0
timing__hold_vio__count__corner:max_tt_025C_3v30,0
timing__hold_r2r__ws__corner:max_tt_025C_3v30,0.876580
timing__hold_r2r_vio__count__corner:max_tt_025C_3v30,0
timing__setup_vio__count__corner:max_tt_025C_3v30,0
timing__setup_r2r__ws__corner:max_tt_025C_3v30,8.259583
timing__setup_r2r_vio__count__corner:max_tt_025C_3v30,0
timing__unannotated_net__count__corner:max_tt_025C_3v30,27
timing__unannotated_net_filtered__count__corner:max_tt_025C_3v30,0
design__max_slew_violation__count__corner:max_ss_125C_3v00,2553
design__max_fanout_violation__count__corner:max_ss_125C_3v00,29
design__max_cap_violation__count__corner:max_ss_125C_3v00,47
clock__skew__worst_hold__corner:max_ss_125C_3v00,-0.656473782804177
clock__skew__worst_setup__corner:max_ss_125C_3v00,0.6602241162874274
timing__hold__ws__corner:max_ss_125C_3v00,2.0504283296061296
timing__setup__ws__corner:max_ss_125C_3v00,-22.58995188182253
timing__hold__tns__corner:max_ss_125C_3v00,0.0
timing__setup__tns__corner:max_ss_125C_3v00,-1927.446473870512
timing__hold__wns__corner:max_ss_125C_3v00,0
timing__setup__wns__corner:max_ss_125C_3v00,-22.58995188182253
timing__hold_vio__count__corner:max_ss_125C_3v00,0
timing__hold_r2r__ws__corner:max_ss_125C_3v00,2.050428
timing__hold_r2r_vio__count__corner:max_ss_125C_3v00,0
timing__setup_vio__count__corner:max_ss_125C_3v00,238
timing__setup_r2r__ws__corner:max_ss_125C_3v00,-22.589952
timing__setup_r2r_vio__count__corner:max_ss_125C_3v00,229
timing__unannotated_net__count__corner:max_ss_125C_3v00,27
timing__unannotated_net_filtered__count__corner:max_ss_125C_3v00,0
design__max_slew_violation__count__corner:max_ff_n40C_3v60,15
design__max_fanout_violation__count__corner:max_ff_n40C_3v60,29
design__max_cap_violation__count__corner:max_ff_n40C_3v60,45
clock__skew__worst_hold__corner:max_ff_n40C_3v60,-0.3866565788099053
clock__skew__worst_setup__corner:max_ff_n40C_3v60,0.39041590509990953
timing__hold__ws__corner:max_ff_n40C_3v60,0.3792755106221146
timing__setup__ws__corner:max_ff_n40C_3v60,21.447610516876555
timing__hold__tns__corner:max_ff_n40C_3v60,0.0
timing__setup__tns__corner:max_ff_n40C_3v60,0.0
timing__hold__wns__corner:max_ff_n40C_3v60,0
timing__setup__wns__corner:max_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:max_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:max_ff_n40C_3v60,0.379276
timing__hold_r2r_vio__count__corner:max_ff_n40C_3v60,0
timing__setup_vio__count__corner:max_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:max_ff_n40C_3v60,21.447611
timing__setup_r2r_vio__count__corner:max_ff_n40C_3v60,0
timing__unannotated_net__count__corner:max_ff_n40C_3v60,27
timing__unannotated_net_filtered__count__corner:max_ff_n40C_3v60,0
timing__unannotated_net__count,27
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_3v30,3.29986
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_3v30,3.29998
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_3v30,0.000138186
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_3v30,0.000124445
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_3v30,0.0000157082
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_3v30,0.000124445
design_powergrid__voltage__worst,0.000124445
design_powergrid__voltage__worst__net:VPWR,3.29986
design_powergrid__drop__worst,0.000138186
design_powergrid__drop__worst__net:VPWR,0.000138186
design_powergrid__voltage__worst__net:VGND,0.000124445
design_powergrid__drop__worst__net:VGND,0.000124445
ir__voltage__worst,3.29999999999999982236431605997495353221893310546875
ir__drop__avg,0.0000154000000000000016324615270679743161963415332138538360595703125
ir__drop__worst,0.000137999999999999993331722958345153529080562293529510498046875
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
