Metric,Value
route__drc_errors__iter:3,0
route__wirelength__iter:3,1503714
route__drc_errors__iter:4,0
route__wirelength__iter:4,1504869
route__drc_errors,0
route__wirelength,1503714
route__vias,147678
route__vias__singlecut,147678
route__vias__multicut,0
design__disconnected_pin__count,5
design__critical_disconnected_pin__count,0
route__wirelength__max,2204.56
design__instance__count__class:fill_cell,34971
design__instance__area__class:fill_cell,396633
timing__unannotated_net__count__corner:nom_tt_025C_3v30,161
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,161
timing__unannotated_net_filtered__count__corner:nom_ss_125C_3v00,0
timing__unannotated_net__count__corner:nom_ff_n40C_3v60,161
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count__corner:min_tt_025C_3v30,92
design__max_fanout_violation__count__corner:min_tt_025C_3v30,171
design__max_cap_violation__count__corner:min_tt_025C_3v30,129
clock__skew__worst_hold__corner:min_tt_025C_3v30,-0.38081558428985524
clock__skew__worst_setup__corner:min_tt_025C_3v30,0.3835993575805309
timing__hold__ws__corner:min_tt_025C_3v30,0.9668275342867411
timing__setup__ws__corner:min_tt_025C_3v30,14.985382248132854
timing__hold__tns__corner:min_tt_025C_3v30,0.0
timing__setup__tns__corner:min_tt_025C_3v30,0.0
timing__hold__wns__corner:min_tt_025C_3v30,0
timing__setup__wns__corner:min_tt_025C_3v30,0.0
timing__hold_vio__count__corner:min_tt_025C_3v30,0
timing__hold_r2r__ws__corner:min_tt_025C_3v30,0.966828
timing__hold_r2r_vio__count__corner:min_tt_025C_3v30,0
timing__setup_vio__count__corner:min_tt_025C_3v30,0
timing__setup_r2r__ws__corner:min_tt_025C_3v30,14.985382
timing__setup_r2r_vio__count__corner:min_tt_025C_3v30,0
timing__unannotated_net__count__corner:min_tt_025C_3v30,161
timing__unannotated_net_filtered__count__corner:min_tt_025C_3v30,0
design__max_slew_violation__count__corner:min_ss_125C_3v00,1172
design__max_fanout_violation__count__corner:min_ss_125C_3v00,171
design__max_cap_violation__count__corner:min_ss_125C_3v00,130
clock__skew__worst_hold__corner:min_ss_125C_3v00,-0.5065419338464711
clock__skew__worst_setup__corner:min_ss_125C_3v00,0.5071254670847175
timing__hold__ws__corner:min_ss_125C_3v00,2.2205757861017617
timing__setup__ws__corner:min_ss_125C_3v00,-30.886007514655777
timing__hold__tns__corner:min_ss_125C_3v00,0.0
timing__setup__tns__corner:min_ss_125C_3v00,-3565.655661876683
timing__hold__wns__corner:min_ss_125C_3v00,0
timing__setup__wns__corner:min_ss_125C_3v00,-30.886007514655777
timing__hold_vio__count__corner:min_ss_125C_3v00,0
timing__hold_r2r__ws__corner:min_ss_125C_3v00,2.220576
timing__hold_r2r_vio__count__corner:min_ss_125C_3v00,0
timing__setup_vio__count__corner:min_ss_125C_3v00,598
timing__setup_r2r__ws__corner:min_ss_125C_3v00,-30.886007
timing__setup_r2r_vio__count__corner:min_ss_125C_3v00,598
timing__unannotated_net__count__corner:min_ss_125C_3v00,161
timing__unannotated_net_filtered__count__corner:min_ss_125C_3v00,0
design__max_slew_violation__count__corner:min_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:min_ff_n40C_3v60,171
design__max_cap_violation__count__corner:min_ff_n40C_3v60,130
clock__skew__worst_hold__corner:min_ff_n40C_3v60,-0.33326006786349455
clock__skew__worst_setup__corner:min_ff_n40C_3v60,0.3339600635003179
timing__hold__ws__corner:min_ff_n40C_3v60,0.4143490112742041
timing__setup__ws__corner:min_ff_n40C_3v60,34.03869282781473
timing__hold__tns__corner:min_ff_n40C_3v60,0.0
