Metric,Value
route__drc_errors__iter:1,266
route__wirelength__iter:1,137745
route__drc_errors__iter:2,212
route__wirelength__iter:2,137197
route__drc_errors__iter:3,5
route__wirelength__iter:3,137058
route__drc_errors__iter:4,0
route__wirelength__iter:4,137055
route__drc_errors,0
route__wirelength,137055
route__vias,22531
route__vias__singlecut,22531
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,448.15
design__instance__count__class:fill_cell,2101
design__instance__area__class:fill_cell,12541.2
timing__unannotated_net__count__corner:nom_tt_025C_3v30,41
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,41
timing__unannotated_net_filtered__count__corner:nom_ss_125C_3v00,0
timing__unannotated_net__count__corner:nom_ff_n40C_3v60,41
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count__corner:min_tt_025C_3v30,0
design__max_fanout_violation__count__corner:min_tt_025C_3v30,29
design__max_cap_violation__count__corner:min_tt_025C_3v30,0
clock__skew__worst_hold__corner:min_tt_025C_3v30,-0.2959559070472408
clock__skew__worst_setup__corner:min_tt_025C_3v30,0.2992086385567811
timing__hold__ws__corner:min_tt_025C_3v30,0.5956133532744197
timing__setup__ws__corner:min_tt_025C_3v30,6.930808123590919
timing__hold__tns__corner:min_tt_025C_3v30,0.0
timing__setup__tns__corner:min_tt_025C_3v30,0.0
timing__hold__wns__corner:min_tt_025C_3v30,0
timing__setup__wns__corner:min_tt_025C_3v30,0.0
timing__hold_vio__count__corner:min_tt_025C_3v30,0
timing__hold_r2r__ws__corner:min_tt_025C_3v30,0.595613
timing__hold_r2r_vio__count__corner:min_tt_025C_3v30,0
timing__setup_vio__count__corner:min_tt_025C_3v30,0
timing__setup_r2r__ws__corner:min_tt_025C_3v30,7.925682
timing__setup_r2r_vio__count__corner:min_tt_025C_3v30,0
timing__unannotated_net__count__corner:min_tt_025C_3v30,41
timing__unannotated_net_filtered__count__corner:min_tt_025C_3v30,0
design__max_slew_violation__count__corner:min_ss_125C_3v00,529
design__max_fanout_violation__count__corner:min_ss_125C_3v00,29
design__max_cap_violation__count__corner:min_ss_125C_3v00,0
clock__skew__worst_hold__corner:min_ss_125C_3v00,-0.3344697669053387
clock__skew__worst_setup__corner:min_ss_125C_3v00,0.3415767487761734
timing__hold__ws__corner:min_ss_125C_3v00,1.4927843828031333
timing__setup__ws__corner:min_ss_125C_3v00,-3.5129979919395584
