Metric,Value
route__drc_errors__iter:2,24
route__wirelength__iter:2,67011
route__drc_errors__iter:3,0
route__wirelength__iter:3,66993
route__drc_errors,0
route__wirelength,66993
route__vias,11083
route__vias__singlecut,11083
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,8
design__critical_disconnected_pin__count,0
route__wirelength__max,646.54
design__instance__count__class:fill_cell,2533
design__instance__area__class:fill_cell,49238.3
timing__unannotated_net__count__corner:nom_tt_025C_3v30,20
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,20
timing__unannotated_net_filtered__count__corner:nom_ss_125C_3v00,0
timing__unannotated_net__count__corner:nom_ff_n40C_3v60,20
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count__corner:min_tt_025C_3v30,0
design__max_fanout_violation__count__corner:min_tt_025C_3v30,1
design__max_cap_violation__count__corner:min_tt_025C_3v30,1
clock__skew__worst_hold__corner:min_tt_025C_3v30,-0.27542433002757016
clock__skew__worst_setup__corner:min_tt_025C_3v30,0.27354450034910965
timing__hold__ws__corner:min_tt_025C_3v30,0.7562359841278071
timing__setup__ws__corner:min_tt_025C_3v30,4.374710495460353
timing__hold__tns__corner:min_tt_025C_3v30,0.0
timing__setup__tns__corner:min_tt_025C_3v30,0.0
timing__hold__wns__corner:min_tt_025C_3v30,0
timing__setup__wns__corner:min_tt_025C_3v30,0.0
timing__hold_vio__count__corner:min_tt_025C_3v30,0
timing__hold_r2r__ws__corner:min_tt_025C_3v30,0.756236
timing__hold_r2r_vio__count__corner:min_tt_025C_3v30,0
timing__setup_vio__count__corner:min_tt_025C_3v30,0
timing__setup_r2r__ws__corner:min_tt_025C_3v30,4.374711
timing__setup_r2r_vio__count__corner:min_tt_025C_3v30,0
timing__unannotated_net__count__corner:min_tt_025C_3v30,20
timing__unannotated_net_filtered__count__corner:min_tt_025C_3v30,0
design__max_slew_violation__count__corner:min_ss_125C_3v00,101
design__max_fanout_violation__count__corner:min_ss_125C_3v00,1
design__max_cap_violation__count__corner:min_ss_125C_3v00,1
clock__skew__worst_hold__corner:min_ss_125C_3v00,-0.3011215528823111
clock__skew__worst_setup__corner:min_ss_125C_3v00,0.29655609363132757
timing__hold__ws__corner:min_ss_125C_3v00,1.7960755613371038
timing__setup__ws__corner:min_ss_125C_3v00,-11.436002690736599
timing__hold__tns__corner:min_ss_125C_3v00,0.0
timing__setup__tns__corner:min_ss_125C_3v00,-434.85731091319286
timing__hold__wns__corner:min_ss_125C_3v00,0
timing__setup__wns__corner:min_ss_125C_3v00,-11.436002690736599
timing__hold_vio__count__corner:min_ss_125C_3v00,0
timing__hold_r2r__ws__corner:min_ss_125C_3v00,1.796076
timing__hold_r2r_vio__count__corner:min_ss_125C_3v00,0
timing__setup_vio__count__corner:min_ss_125C_3v00,66
timing__setup_r2r__ws__corner:min_ss_125C_3v00,-11.436003
timing__setup_r2r_vio__count__corner:min_ss_125C_3v00,58
timing__unannotated_net__count__corner:min_ss_125C_3v00,20
timing__unannotated_net_filtered__count__corner:min_ss_125C_3v00,0
