Metric,Value
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,4
design__instance__count__class:antenna_cell,9
design__instance__area__class:antenna_cell,39.5136
route__net,12402
route__net__special,2
route__drc_errors__iter:0,56
route__wirelength__iter:0,691672
route__drc_errors__iter:1,2
route__wirelength__iter:1,691618
route__drc_errors__iter:2,2
route__wirelength__iter:2,691609
route__drc_errors__iter:3,0
route__wirelength__iter:3,691617
route__drc_errors__iter:4,115
route__wirelength__iter:4,691629
route__drc_errors__iter:5,52
route__wirelength__iter:5,691695
route__drc_errors__iter:6,1
route__wirelength__iter:6,691596
route__drc_errors__iter:7,1
route__wirelength__iter:7,691596
route__drc_errors__iter:8,1
route__wirelength__iter:8,691596
route__drc_errors__iter:10,1
route__wirelength__iter:10,691596
route__drc_errors__iter:11,1
route__wirelength__iter:11,691596
route__drc_errors__iter:15,1
route__wirelength__iter:15,691596
route__drc_errors__iter:16,1
route__wirelength__iter:16,691596
route__drc_errors__iter:17,1
route__wirelength__iter:17,691598
route__drc_errors__iter:18,1
route__wirelength__iter:18,691598
route__drc_errors__iter:19,0
route__wirelength__iter:19,691598
route__drc_errors,0
route__wirelength,691617
route__vias,90848
route__vias__singlecut,90848
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,1340.18
design__instance__count__class:fill_cell,12503
design__instance__area__class:fill_cell,107582
timing__unannotated_net__count__corner:nom_tt_025C_3v30,104
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,104
timing__unannotated_net_filtered__count__corner:nom_ss_125C_3v00,0
timing__unannotated_net__count__corner:nom_ff_n40C_3v60,104
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count__corner:min_tt_025C_3v30,469
design__max_fanout_violation__count__corner:min_tt_025C_3v30,112
design__max_cap_violation__count__corner:min_tt_025C_3v30,1
clock__skew__worst_hold__corner:min_tt_025C_3v30,-0.3998237132320492
clock__skew__worst_setup__corner:min_tt_025C_3v30,0.38528600844724314
timing__hold__ws__corner:min_tt_025C_3v30,0.5784204390288257
timing__setup__ws__corner:min_tt_025C_3v30,2.8078518083146604
timing__hold__tns__corner:min_tt_025C_3v30,0.0
timing__setup__tns__corner:min_tt_025C_3v30,0.0
timing__hold__wns__corner:min_tt_025C_3v30,0
timing__setup__wns__corner:min_tt_025C_3v30,0.0
timing__hold_vio__count__corner:min_tt_025C_3v30,0
timing__hold_r2r__ws__corner:min_tt_025C_3v30,0.578420
timing__hold_r2r_vio__count__corner:min_tt_025C_3v30,0
timing__setup_vio__count__corner:min_tt_025C_3v30,0
timing__setup_r2r__ws__corner:min_tt_025C_3v30,2.807852
timing__setup_r2r_vio__count__corner:min_tt_025C_3v30,0
timing__unannotated_net__count__corner:min_tt_025C_3v30,104
timing__unannotated_net_filtered__count__corner:min_tt_025C_3v30,0
design__max_slew_violation__count__corner:min_ss_125C_3v00,6465
design__max_fanout_violation__count__corner:min_ss_125C_3v00,112
design__max_cap_violation__count__corner:min_ss_125C_3v00,1
clock__skew__worst_hold__corner:min_ss_125C_3v00,-0.5345710692080856
clock__skew__worst_setup__corner:min_ss_125C_3v00,0.5054481420916758
timing__hold__ws__corner:min_ss_125C_3v00,1.4557782058551165
timing__setup__ws__corner:min_ss_125C_3v00,-33.926810765477704
timing__hold__tns__corner:min_ss_125C_3v00,0.0
timing__setup__tns__corner:min_ss_125C_3v00,-16399.02121491931
timing__hold__wns__corner:min_ss_125C_3v00,0
timing__setup__wns__corner:min_ss_125C_3v00,-33.926810765477704
timing__hold_vio__count__corner:min_ss_125C_3v00,0
timing__hold_r2r__ws__corner:min_ss_125C_3v00,1.455778
timing__hold_r2r_vio__count__corner:min_ss_125C_3v00,0
timing__setup_vio__count__corner:min_ss_125C_3v00,890
timing__setup_r2r__ws__corner:min_ss_125C_3v00,-33.926811
timing__setup_r2r_vio__count__corner:min_ss_125C_3v00,879
timing__unannotated_net__count__corner:min_ss_125C_3v00,104
timing__unannotated_net_filtered__count__corner:min_ss_125C_3v00,0
design__max_slew_violation__count__corner:min_ff_n40C_3v60,9
design__max_fanout_violation__count__corner:min_ff_n40C_3v60,112
design__max_cap_violation__count__corner:min_ff_n40C_3v60,1
clock__skew__worst_hold__corner:min_ff_n40C_3v60,-0.3452769001772915
clock__skew__worst_setup__corner:min_ff_n40C_3v60,0.33178202790900924
timing__hold__ws__corner:min_ff_n40C_3v60,0.20750313166168527
timing__setup__ws__corner:min_ff_n40C_3v60,7.208479350794848
timing__hold__tns__corner:min_ff_n40C_3v60,0.0
timing__setup__tns__corner:min_ff_n40C_3v60,0.0
timing__hold__wns__corner:min_ff_n40C_3v60,0
timing__setup__wns__corner:min_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:min_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:min_ff_n40C_3v60,0.207503
timing__hold_r2r_vio__count__corner:min_ff_n40C_3v60,0
timing__setup_vio__count__corner:min_ff_n40C_3v60,0
